timestamp,station_id,station_name,status,consecutive_offline,event_type,message
2026-07-13T21:35:15.047719+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:35:15.484606+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-07-13T21:35:15.978006+00:00,Ecocenter,Ecocenter,OFFLINE,6,check,ok
2026-08-27T05:10:22.029150+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:10:22.547938+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:10:24.358062+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:10:24.951520+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:10:25.376515+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:10:26.952027+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:10:27.425081+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:10:27.895274+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:10:28.369281+00:00,KNJMANAH111,Stafford Municipal Complex,RECOVERED,6,recovered,Station_recovered
2026-08-27T05:11:27.182227+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:11:27.639616+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:11:27.951817+00:00,Ecocenter,Ecocenter,OFFLINE,8,check,ok
2026-08-27T05:11:28.192503+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:11:28.500163+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:11:28.842779+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:11:29.219617+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,8,check,ok
2026-08-27T05:11:29.471887+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:11:29.891173+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:11:30.268832+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:11:30.572347+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:30:27.723891+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:30:28.802439+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:30:28.936136+00:00,Ecocenter,Ecocenter,OFFLINE,9,check,ok
2026-08-27T05:34:25.144161+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:34:25.586476+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:34:25.723082+00:00,Ecocenter,Ecocenter,OFFLINE,1,check,ok
2026-08-27T05:34:25.778129+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:34:26.100805+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:34:26.359022+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:34:26.573994+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,1,check,ok
2026-08-27T05:34:26.737334+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:34:27.081165+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:34:27.274518+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:34:27.512416+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:44:48.979031+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:44:49.484422+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:44:49.610907+00:00,Ecocenter,Ecocenter,OFFLINE,2,check,ok
2026-08-27T05:44:50.093712+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:44:50.251680+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:44:50.446059+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:44:50.777064+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,2,check,ok
2026-08-27T05:44:50.917659+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:44:51.170653+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:44:51.370846+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:44:51.556524+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:55:02.005192+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:55:02.601501+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:55:02.799297+00:00,Ecocenter,Ecocenter,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-08-27T05:55:04.047193+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:55:04.278243+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:55:04.586523+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:55:04.762922+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,3,offline_alert,"Threshold Reached, email sent"
2026-08-27T05:55:05.952717+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:55:06.211141+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:55:06.541532+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:55:06.842472+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T05:59:46.937083+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T05:59:47.377242+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:59:48.675531+00:00,Ecocenter2,Ecocenter,OFFLINE,1,check,ok
2026-08-27T05:59:48.844802+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T05:59:48.958567+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T05:59:49.173146+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T05:59:50.343114+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:59:50.522399+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T05:59:50.711896+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T05:59:50.823808+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:12.481690+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:12.949939+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:13.066886+00:00,Ecocenter,Ecocenter,OFFLINE,5,check,ok
2026-08-27T06:03:13.180916+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:13.309879+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:13.458082+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:13.605869+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,5,check,ok
2026-08-27T06:03:13.767690+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:13.904097+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:14.042955+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:14.187941+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:15.319177+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:15.810545+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:15.863534+00:00,Ecocenter,Ecocenter,OFFLINE,6,check,ok
2026-08-27T06:03:15.920077+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:15.973316+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:16.021198+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:16.064693+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,6,check,ok
2026-08-27T06:03:16.109406+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:16.177033+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:16.236150+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:16.278481+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:17.076570+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:17.337171+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:17.384378+00:00,Ecocenter,Ecocenter,OFFLINE,7,check,ok
2026-08-27T06:03:17.455419+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:17.538441+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:17.594307+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:17.668441+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,7,check,ok
2026-08-27T06:03:17.761192+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:17.814138+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:17.861784+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:17.905082+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:18.637451+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:18.882223+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:18.931064+00:00,Ecocenter,Ecocenter,OFFLINE,8,check,ok
2026-08-27T06:03:18.977219+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:19.024025+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:19.101915+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:19.146978+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,8,check,ok
2026-08-27T06:03:19.197411+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:19.252990+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:19.304430+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:19.350879+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:20.064687+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:20.340218+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:20.395518+00:00,Ecocenter,Ecocenter,OFFLINE,9,check,ok
2026-08-27T06:03:20.442990+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:20.493971+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:20.540491+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:20.587416+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,9,check,ok
2026-08-27T06:03:20.634798+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:20.681499+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:20.800837+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:20.846984+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:21.544840+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:21.803359+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:21.863054+00:00,Ecocenter,Ecocenter,OFFLINE,10,check,ok
2026-08-27T06:03:21.906310+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:21.953282+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:21.997860+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:22.041023+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,10,check,ok
2026-08-27T06:03:22.088235+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:22.141008+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:22.207238+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:22.249904+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:22.884570+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:23.150219+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:23.197600+00:00,Ecocenter,Ecocenter,OFFLINE,11,check,ok
2026-08-27T06:03:23.248111+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:23.311487+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:23.365500+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:23.409634+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,11,check,ok
2026-08-27T06:03:23.453244+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:23.501372+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:23.553141+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:23.595652+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:24.206936+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:24.472747+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:24.551098+00:00,Ecocenter,Ecocenter,OFFLINE,12,check,ok
2026-08-27T06:03:24.595852+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:24.651633+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:24.703888+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:24.747353+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,12,check,ok
2026-08-27T06:03:24.794310+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:24.867159+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:24.918504+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:24.973659+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:25.612246+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:25.861433+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:25.935631+00:00,Ecocenter,Ecocenter,OFFLINE,13,check,ok
2026-08-27T06:03:25.997349+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:26.045289+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:26.111577+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:26.161059+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,13,check,ok
2026-08-27T06:03:26.203746+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:26.366224+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:26.504315+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:26.578604+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:26.963345+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:27.207318+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:27.260413+00:00,Ecocenter,Ecocenter,OFFLINE,14,check,ok
2026-08-27T06:03:27.359736+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:27.418716+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:27.468310+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:27.517338+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,14,check,ok
2026-08-27T06:03:27.583105+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:27.632514+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:27.678423+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:27.732163+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:28.386194+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:28.661297+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:28.717955+00:00,Ecocenter,Ecocenter,OFFLINE,15,check,ok
2026-08-27T06:03:28.785438+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:28.873581+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
2026-08-27T06:03:28.944533+00:00,KNJLONGB89,LBT Marine Field Station,CONNECTED,0,check,ok
2026-08-27T06:03:28.997638+00:00,KNJMANAH7,MATES/Stafford,OFFLINE,15,check,ok
2026-08-27T06:03:29.044284+00:00,KNJOCEAN178,Ocean Gate Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:29.086665+00:00,KNJSEASI44,Seaside Park Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:29.136034+00:00,KNJWARET3,Sedge Island,CONNECTED,0,check,ok
2026-08-27T06:03:29.207608+00:00,KNJMANAH111,Stafford Municipal Complex,CONNECTED,0,check,ok
2026-08-27T06:03:29.786219+00:00,KNJBAYHE18,Bayhead Fire Company #1,CONNECTED,0,check,ok
2026-08-27T06:03:30.044830+00:00,KNJBEACH64,Beachwood Yacht Club,CONNECTED,0,check,ok
2026-08-27T06:03:30.091519+00:00,Ecocenter,Ecocenter,OFFLINE,16,check,ok
2026-08-27T06:03:30.137583+00:00,KNJBERKE13,Island Beach State Park Bathhouse #1,CONNECTED,0,check,ok
2026-08-27T06:03:30.184865+00:00,KNJLONGB21,LBI Foundation,CONNECTED,0,check,ok
